Stylish,Classic,Windbreaker,10101
Vintage,Everyday,Duster,10102
Quilted,Cozy,Waistcoat,10103
Distressed,Slim-fit,Flare,10201
Tailored,Comfortable,Culottes,10202
Pleated,Versatile,Sarong,10203
Graphic,Cotton,Polo Shirt,10301
Striped,Linen,Henley,10302
Ruffled,Silk,Peasant Blouse,10303
Fedora,Wool,Newsboy Cap,10401
Infinity,Cashmere,Shawl,10402
Braided,Leather,Harness,10403
Quirky,Sporty,Poncho,10101
Tweed,Casual,Robe,10102
Faux Fur,Chic,Kimono,10103
Patched,Denim,Bell-bottoms,10201
Cargo,Stylish,Cargo Pants,10202
Wrap,Midi,Maxi Skirt,10203
Graphic,Print,Tank Top,10301
Chambray,Classic,Button-down,10302
Lace,Elegant,Kaftan,10303
Beret,Straw,Cloche Hat,10401
Plaid,Knit,Blanket Scarf,10402
Studded,Elastic,Obi Belt,10403
Bomber,Trendy,Bomber Jacket,10101
Trench,Stylish,Trench Coat,10102
Faux Suede,Quilted,Quilted Vest,10103
Distressed,Bootcut,Bootcut Jeans,10201
Culottes,Comfortable,Corduroy Pants,10202
Pleated,Maxi,Pleated Skirt,10203
Striped,Sleeveless,Sleeveless Tee,10301
Mandarin,Ruffled,Ruffled Shirt,10302
Satin,Peplum,Peplum Blouse,10303
Fedora,Beanie,Beanie,10401
Plaid,Woolen,Woolen Scarf,10402
Chain,Braided,Braided Belt,10403
